url,path,locale,page_family,http_status,canonical_url,index_noindex,sitemap_included,title,meta_description,h1,word_count,answer_block_present,facts_table_present,safety_block_present,app_store_cta_present,screenshot_slots_images_count,json_ld_present,faq_present,faqpage_schema_present,hreflang_cluster_status,internal_inlinks_count,recommendation
https://www.glpzy.app/apple-health-glp-tracker.html,apple-health-glp-tracker.html,root,feature,200,https://www.glpzy.app/apple-health-glp-tracker.html,index,yes,Apple Health GLP-1 tracker support | OneGLP,"Use OneGLP with optional read-only Apple Health data for weight, height, glucose, body, movement, workouts and nutrition context on iPhone.",Apple Health GLP-1 tracker support,915,yes,yes,yes,yes,4,yes,yes,yes,54 alternates,78,index
https://www.glpzy.app/apple-health-weight-loss-injection-tracker.html,apple-health-weight-loss-injection-tracker.html,root,commercial,200,https://www.glpzy.app/apple-health-weight-loss-injection-tracker.html,index,yes,Apple Health weight loss injection tracker | OneGLP,"Use OneGLP with optional read-only Apple Health context for weight, glucose, body, movement, workouts and nutrition beside injection tracking.",Use Apple Health context beside weight loss injection tracking,295,no,no,yes,yes,1,yes,yes,yes,2 alternates,3,index
https://www.glpzy.app/ar/apple-health-glp-tracker.html,ar/apple-health-glp-tracker.html,ar,feature,200,https://www.glpzy.app/ar/apple-health-glp-tracker.html,index,yes,سياق القراءة فقط من Apple Health | OneGLP,الوصول إلى Apple Health اختياري ويقتصر على الأذونات التي تمنحها. OneGLP يستورد تاريخ وزن الجسم وطوله، ثم يقرأ ملخصات تكوين الجسم والنوم والحركة والتمرين والسعرات الحرارية والبروتين والماء في وضع القراءة فقط. لا شيء مكتوب مرة أخرى.,سياق القراءة فقط من Apple Health,519,no,no,no,yes,1,no,no,no,54 alternates,54,improve-copy-keep-indexable
https://www.glpzy.app/ar/compounded-glp-tracker-iphone.html,ar/compounded-glp-tracker-iphone.html,ar,commercial,200,https://www.glpzy.app/ar/compounded-glp-tracker-iphone.html,index,yes,مركب — تسجيل سريع دون فوضى | OneGLP,مركب: تتبّع هذا الروتين مع سجل الجرعات والوزن والأعراض والشهية والصور والتذكيرات والتصديرات في تطبيق خاص واحد.,مركب,471,no,no,no,yes,1,no,no,no,54 alternates,56,index
https://www.glpzy.app/ar/custom-medication-tracker-iphone.html,ar/custom-medication-tracker-iphone.html,ar,commercial,200,https://www.glpzy.app/ar/custom-medication-tracker-iphone.html,index,yes,مخصص — تسجيل سريع دون فوضى | OneGLP,مخصص: تتبّع هذا الروتين مع سجل الجرعات والوزن والأعراض والشهية والصور والتذكيرات والتصديرات في تطبيق خاص واحد.,مخصص,478,no,no,no,yes,1,no,no,no,54 alternates,58,index
https://www.glpzy.app/ar/data-rights.html,ar/data-rights.html,ar,privacy,200,https://www.glpzy.app/ar/data-rights.html,index,yes,تاريخ التصدير | OneGLP,سيقوم OneGLP أولاً بإنشاء نسخة احتياطية محلية للسلامة، ثم استبدال السجلات المحلية على هذا الجهاز.,تاريخ التصدير,403,no,no,no,yes,1,no,no,no,54 alternates,77,index
https://www.glpzy.app/ar/foundayo-tracker-iphone.html,ar/foundayo-tracker-iphone.html,ar,commercial,200,https://www.glpzy.app/ar/foundayo-tracker-iphone.html,index,yes,Foundayo — تسجيل سريع دون فوضى | OneGLP,Foundayo: تتبّع هذا الروتين مع سجل الجرعات والوزن والأعراض والشهية والصور والتذكيرات والتصديرات في تطبيق خاص واحد.,Foundayo,458,no,no,no,yes,1,no,no,no,54 alternates,55,index
https://www.glpzy.app/ar/glp1-weight-dose-symptom-tracker.html,ar/glp1-weight-dose-symptom-tracker.html,ar,commercial,200,https://www.glpzy.app/ar/glp1-weight-dose-symptom-tracker.html,index,yes,روتين GLP-1 الخاص بك، منظّم بلا ازدحام | OneGLP,سجّل الجرعات والوزن والأعراض والشهية والصور والتذكيرات وسياق Apple Health في تطبيق خاص واحد للمراجعة الشخصية.,روتين GLP-1 الخاص بك، منظّم بلا ازدحام.,544,no,no,no,yes,1,no,no,no,54 alternates,54,index
https://www.glpzy.app/ar/glpzy-is-now-oneglp/,ar/glpzy-is-now-oneglp/index.html,ar,home,200,https://www.glpzy.app/ar/glpzy-is-now-oneglp/,index,yes,أصبح اسم GLPzy الآن OneGLP,أصبح اسم GLPzy الآن OneGLP. التطبيق والمطور لم يتغيرا، وتظل سجلاتك ومشتريات Premium الحالية محفوظة. تعرّف على تغيير الاسم.,أصبح اسمGLPzyالآنOneGLP,230,no,no,no,yes,1,yes,yes,no,54 alternates,77,index
https://www.glpzy.app/ar/,ar/index.html,ar,home,200,https://www.glpzy.app/ar/,index,yes,روتين GLP-1 الخاص بك، منظّم بلا ازدحام | OneGLP,سجّل الجرعات والوزن والأعراض والشهية والصور والتذكيرات وسياق Apple Health في تطبيق خاص واحد للمراجعة الشخصية.,روتين GLP-1 الخاص بك، منظّم بلا ازدحام.,811,no,no,no,yes,1,yes,no,no,54 alternates,135,index
