url,path,locale,page_family,current_index_state,in_sitemap,canonical_url,recommended_action,consolidation_target,priority,reason,evidence_required
https://www.glpzy.app/apple-health-glp-tracker.html,apple-health-glp-tracker.html,root,feature,index,yes,https://www.glpzy.app/apple-health-glp-tracker.html,keep_index_priority,,P0,"Distinct product, feature, offer or trust intent.","Monitor query match, CTR, canonical selection and conversions."
https://www.glpzy.app/apple-health-weight-loss-injection-tracker.html,apple-health-weight-loss-injection-tracker.html,root,commercial,index,yes,https://www.glpzy.app/apple-health-weight-loss-injection-tracker.html,keep_index_supporting,,P2,Indexable root page with a supporting policy or product role.,"Monitor impressions, internal links and canonical selection."
https://www.glpzy.app/ar/apple-health-glp-tracker.html,ar/apple-health-glp-tracker.html,ar,feature,index,yes,https://www.glpzy.app/ar/apple-health-glp-tracker.html,keep_index_translation,,P1,All published translations remain indexable under the owner's policy.,"Check wording, medical safety, mobile layout and Search Console coverage without adding noindex."
https://www.glpzy.app/ar/compounded-glp-tracker-iphone.html,ar/compounded-glp-tracker-iphone.html,ar,commercial,index,yes,https://www.glpzy.app/ar/compounded-glp-tracker-iphone.html,keep_index_translation,,P1,All published translations remain indexable under the owner's policy.,"Check wording, medical safety, mobile layout and Search Console coverage without adding noindex."
https://www.glpzy.app/ar/custom-medication-tracker-iphone.html,ar/custom-medication-tracker-iphone.html,ar,commercial,index,yes,https://www.glpzy.app/ar/custom-medication-tracker-iphone.html,keep_index_translation,,P1,All published translations remain indexable under the owner's policy.,"Check wording, medical safety, mobile layout and Search Console coverage without adding noindex."
https://www.glpzy.app/ar/data-rights.html,ar/data-rights.html,ar,privacy,index,yes,https://www.glpzy.app/ar/data-rights.html,keep_index_translation,,P1,All published translations remain indexable under the owner's policy.,"Check wording, medical safety, mobile layout and Search Console coverage without adding noindex."
https://www.glpzy.app/ar/foundayo-tracker-iphone.html,ar/foundayo-tracker-iphone.html,ar,commercial,index,yes,https://www.glpzy.app/ar/foundayo-tracker-iphone.html,keep_index_translation,,P1,All published translations remain indexable under the owner's policy.,"Check wording, medical safety, mobile layout and Search Console coverage without adding noindex."
https://www.glpzy.app/ar/glp1-weight-dose-symptom-tracker.html,ar/glp1-weight-dose-symptom-tracker.html,ar,commercial,index,yes,https://www.glpzy.app/ar/glp1-weight-dose-symptom-tracker.html,keep_index_translation,,P1,All published translations remain indexable under the owner's policy.,"Check wording, medical safety, mobile layout and Search Console coverage without adding noindex."
https://www.glpzy.app/ar/glpzy-is-now-oneglp/,ar/glpzy-is-now-oneglp/index.html,ar,home,index,yes,https://www.glpzy.app/ar/glpzy-is-now-oneglp/,keep_index_translation,,P1,All published translations remain indexable under the owner's policy.,"Check wording, medical safety, mobile layout and Search Console coverage without adding noindex."
https://www.glpzy.app/ar/,ar/index.html,ar,home,index,yes,https://www.glpzy.app/ar/,keep_index_translation,,P1,All published translations remain indexable under the owner's policy.,"Check wording, medical safety, mobile layout and Search Console coverage without adding noindex."
https://www.glpzy.app/ar/local-first-private-glp-tracker.html,ar/local-first-private-glp-tracker.html,ar,privacy,index,yes,https://www.glpzy.app/ar/local-first-private-glp-tracker.html,keep_index_translation,,P1,All published translations remain indexable under the owner's policy.,"Check wording, medical safety, mobile layout and Search Console coverage without adding noindex."
https://www.glpzy.app/ar/medical-safety.html,ar/medical-safety.html,ar,trust,index,yes,https://www.glpzy.app/ar/medical-safety.html,keep_index_translation,,P1,All published translations remain indexable under the owner's policy.,"Check wording, medical safety, mobile layout and Search Console coverage without adding noindex."
https://www.glpzy.app/ar/methodology.html,ar/methodology.html,ar,trust,index,yes,https://www.glpzy.app/ar/methodology.html,keep_index_translation,,P1,All published translations remain indexable under the owner's policy.,"Check wording, medical safety, mobile layout and Search Console coverage without adding noindex."
https://www.glpzy.app/ar/mounjaro-tracker-iphone.html,ar/mounjaro-tracker-iphone.html,ar,medicine,index,yes,https://www.glpzy.app/ar/mounjaro-tracker-iphone.html,keep_index_translation,,P1,All published translations remain indexable under the owner's policy.,"Check wording, medical safety, mobile layout and Search Console coverage without adding noindex."
https://www.glpzy.app/ar/overview.html,ar/overview.html,ar,other,index,yes,https://www.glpzy.app/ar/overview.html,keep_index_translation,,P1,All published translations remain indexable under the owner's policy.,"Check wording, medical safety, mobile layout and Search Console coverage without adding noindex."
https://www.glpzy.app/ar/ozempic-tracker-iphone.html,ar/ozempic-tracker-iphone.html,ar,commercial,index,yes,https://www.glpzy.app/ar/ozempic-tracker-iphone.html,keep_index_translation,,P1,All published translations remain indexable under the owner's policy.,"Check wording, medical safety, mobile layout and Search Console coverage without adding noindex."
https://www.glpzy.app/ar/privacy.html,ar/privacy.html,ar,privacy,index,yes,https://www.glpzy.app/ar/privacy.html,keep_index_translation,,P1,All published translations remain indexable under the owner's policy.,"Check wording, medical safety, mobile layout and Search Console coverage without adding noindex."
https://www.glpzy.app/ar/rybelsus-tracker-iphone.html,ar/rybelsus-tracker-iphone.html,ar,commercial,index,yes,https://www.glpzy.app/ar/rybelsus-tracker-iphone.html,keep_index_translation,,P1,All published translations remain indexable under the owner's policy.,"Check wording, medical safety, mobile layout and Search Console coverage without adding noindex."
https://www.glpzy.app/ar/saxenda-tracker-iphone.html,ar/saxenda-tracker-iphone.html,ar,commercial,index,yes,https://www.glpzy.app/ar/saxenda-tracker-iphone.html,keep_index_translation,,P1,All published translations remain indexable under the owner's policy.,"Check wording, medical safety, mobile layout and Search Console coverage without adding noindex."
https://www.glpzy.app/ar/semaglutide-tracker-iphone.html,ar/semaglutide-tracker-iphone.html,ar,ingredient,index,yes,https://www.glpzy.app/ar/semaglutide-tracker-iphone.html,keep_index_translation,,P1,All published translations remain indexable under the owner's policy.,"Check wording, medical safety, mobile layout and Search Console coverage without adding noindex."
https://www.glpzy.app/ar/support.html,ar/support.html,ar,trust,index,yes,https://www.glpzy.app/ar/support.html,keep_index_translation,,P1,All published translations remain indexable under the owner's policy.,"Check wording, medical safety, mobile layout and Search Console coverage without adding noindex."
https://www.glpzy.app/ar/terms.html,ar/terms.html,ar,trust,index,yes,https://www.glpzy.app/ar/terms.html,keep_index_translation,,P1,All published translations remain indexable under the owner's policy.,"Check wording, medical safety, mobile layout and Search Console coverage without adding noindex."
https://www.glpzy.app/ar/tirzepatide-tracker-iphone.html,ar/tirzepatide-tracker-iphone.html,ar,ingredient,index,yes,https://www.glpzy.app/ar/tirzepatide-tracker-iphone.html,keep_index_translation,,P1,All published translations remain indexable under the owner's policy.,"Check wording, medical safety, mobile layout and Search Console coverage without adding noindex."
https://www.glpzy.app/ar/trulicity-tracker-iphone.html,ar/trulicity-tracker-iphone.html,ar,commercial,index,yes,https://www.glpzy.app/ar/trulicity-tracker-iphone.html,keep_index_translation,,P1,All published translations remain indexable under the owner's policy.,"Check wording, medical safety, mobile layout and Search Console coverage without adding noindex."
https://www.glpzy.app/ar/victoza-tracker-iphone.html,ar/victoza-tracker-iphone.html,ar,commercial,index,yes,https://www.glpzy.app/ar/victoza-tracker-iphone.html,keep_index_translation,,P1,All published translations remain indexable under the owner's policy.,"Check wording, medical safety, mobile layout and Search Console coverage without adding noindex."
https://www.glpzy.app/ar/wegovy-tracker-iphone.html,ar/wegovy-tracker-iphone.html,ar,medicine,index,yes,https://www.glpzy.app/ar/wegovy-tracker-iphone.html,keep_index_translation,,P1,All published translations remain indexable under the owner's policy.,"Check wording, medical safety, mobile layout and Search Console coverage without adding noindex."
https://www.glpzy.app/ar/zepbound-tracker-iphone.html,ar/zepbound-tracker-iphone.html,ar,medicine,index,yes,https://www.glpzy.app/ar/zepbound-tracker-iphone.html,keep_index_translation,,P1,All published translations remain indexable under the owner's policy.,"Check wording, medical safety, mobile layout and Search Console coverage without adding noindex."
https://www.glpzy.app/bg/apple-health-glp-tracker.html,bg/apple-health-glp-tracker.html,bg,feature,index,yes,https://www.glpzy.app/bg/apple-health-glp-tracker.html,keep_index_translation,,P1,All published translations remain indexable under the owner's policy.,"Check wording, medical safety, mobile layout and Search Console coverage without adding noindex."
